ensembl_gene_id,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline,gene_name
ENSG00000101057,0.563427,1.4518186,1.0216202,MYBL2
ENSG00000101079,0.28850117,0.41970947,0.29564485,NDRG3
ENSG00000101084,2.3533692,3.7728481,2.2721674,RAB5IF
ENSG00000101096,,0.12120471,,NFATC2
ENSG00000101109,0.6805342,0.6988448,0.57909054,STK4
ENSG00000101126,0.85741264,0.9708131,0.815709,ADNP
ENSG00000101132,0.86931574,0.8868913,0.670376,PFDN4
ENSG00000101138,0.37634367,0.483167,0.40592423,CSTF1
ENSG00000101146,0.4238049,0.84108067,0.59524703,RAE1
ENSG00000101150,0.80844873,0.58682376,0.45666704,TPD52L2
ENSG00000101152,0.25277814,0.2845015,0.21221855,DNAJC5
ENSG00000101158,0.6575047,1.3144282,1.0321513,NELFCD
ENSG00000101160,0.3778721,0.5583879,0.57799274,CTSZ
ENSG00000101161,0.6769269,0.9325159,0.7209911,PRPF6
ENSG00000101166,0.5213591,1.0830878,0.7313115,PRELID3B
ENSG00000101181,0.25792083,0.47532278,0.34168983,MTG2
ENSG00000101182,9.3392515,10.126014,6.811718,PSMA7
ENSG00000101187,,0.13357766,,SLCO4A1
ENSG00000101189,0.48995635,0.78378695,0.5958874,MRGBP
ENSG00000101190,0.13519946,,,TCFL5
ENSG00000101191,0.5247097,0.72677284,0.50052863,DIDO1
ENSG00000101193,0.29383928,0.6572631,0.466439,GID8
ENSG00000101199,0.24678615,0.23716052,0.19408673,ARFGAP1
ENSG00000101216,,0.16880819,0.1284113,GMEB2
ENSG00000101220,1.0072004,1.3476691,1.031666,C20orf27
ENSG00000101224,0.4380607,0.1903242,0.14763506,CDC25B
ENSG00000101236,0.12179026,0.8383469,0.8226927,RNF24
ENSG00000101246,0.37182796,0.48082715,0.34087893,ARFRP1
ENSG00000101247,0.20751236,0.44212848,0.29178658,NDUFAF5
ENSG00000101255,0.13153194,0.6022727,0.67905825,TRIB3
ENSG00000101266,1.1836122,2.500222,1.934778,CSNK2A1
ENSG00000101290,0.22843671,0.2426793,0.20115474,CDS2
ENSG00000101294,1.2880248,0.95986414,0.73648447,HM13
ENSG00000101310,0.29622918,0.3990904,0.28574714,SEC23B
ENSG00000101333,0.42404106,0.33071092,0.2657916,PLCB4
ENSG00000101335,3.8802109,,,MYL9
ENSG00000101337,0.30794278,0.41712368,0.3304718,TM9SF4
ENSG00000101343,0.34297466,0.41025046,0.3349911,CRNKL1
ENSG00000101346,0.2693525,0.2151975,0.16341934,POFUT1
ENSG00000101347,0.16684015,0.21637647,0.15470776,SAMHD1
ENSG00000101350,0.5354246,0.29863915,0.22407296,KIF3B
ENSG00000101361,2.3539371,6.2033415,4.0886855,NOP56
ENSG00000101363,0.7341323,0.30671248,0.23678596,MANBAL
ENSG00000101365,0.70917183,1.8287507,1.3421392,IDH3B
ENSG00000101367,0.9367617,1.6918474,1.2302791,MAPRE1
ENSG00000101384,0.14491545,,,JAG1
ENSG00000101391,0.21046981,0.5858071,0.4477224,CDK5RAP1
ENSG00000101400,,0.18403162,0.17603882,SNTA1
ENSG00000101407,0.18033603,0.41596487,0.30362526,TTI1
ENSG00000101412,0.3948315,0.35096198,0.2685276,E2F1
ENSG00000101413,0.17938602,0.40677074,0.2920669,RPRD1B
ENSG00000101417,,0.17323054,0.1493613,PXMP4
ENSG00000101421,0.84247994,0.48486733,0.39558703,CHMP4B
ENSG00000101439,2.8150256,2.1152322,1.8388453,CST3
ENSG00000101444,1.1431485,2.045604,1.9099994,AHCY
ENSG00000101447,0.43558174,0.23336825,0.164682,FAM83D
ENSG00000101452,,0.11279622,,DHX35
ENSG00000101457,0.48076448,0.47671747,0.42443156,DNTTIP1
ENSG00000101464,0.19675192,0.17032756,0.12936887,PIGU
ENSG00000101473,0.18662933,0.21616474,0.19205049,ACOT8
ENSG00000101474,0.8329921,0.39172566,0.33757976,APMAP
ENSG00000101544,0.2191853,0.30820543,0.2423236,ADNP2
ENSG00000101546,0.45268112,0.61433434,0.5145402,RBFA
ENSG00000101557,2.3669703,2.7418797,1.8520942,USP14
ENSG00000101558,2.8326645,3.423124,2.6379356,VAPA
ENSG00000101574,0.1642187,0.26445708,0.21378143,METTL4
ENSG00000101577,0.3777302,0.36795548,0.3138717,LPIN2
ENSG00000101596,1.5882388,1.9782804,1.3938845,SMCHD1
ENSG00000101608,6.6578956,3.2398458,2.6879244,MYL12A
ENSG00000101624,,0.13761373,0.10994933,CEP76
ENSG00000101639,0.4140441,0.40164962,0.34341106,CEP192
ENSG00000101654,0.6844777,0.4990787,0.442805,RNMT
ENSG00000101665,0.5213194,,,SMAD7
ENSG00000101695,,0.1670233,0.17734304,RNF125
ENSG00000101745,0.7324867,0.4505887,0.36090288,ANKRD12
ENSG00000101751,0.15678559,,,POLI
ENSG00000101752,0.4002654,0.47556248,0.3791958,MIB1
ENSG00000101773,0.8717695,0.28735065,0.2128089,RBBP8
ENSG00000101782,0.7036679,0.4962031,0.41791347,RIOK3
ENSG00000101811,0.18778484,0.28804922,0.21439661,CSTF2
ENSG00000101843,0.50858694,0.6356883,0.4650701,PSMD10
ENSG00000101844,0.112768196,0.1846124,0.13100225,ATG4A
ENSG00000101849,0.20964295,0.5200487,0.43616536,TBL1X
ENSG00000101856,0.9402857,0.7263376,0.56257796,PGRMC1
ENSG00000101868,0.25125796,0.46662435,0.3326944,POLA1
ENSG00000101871,0.28093868,,,MID1
ENSG00000101882,0.49157578,0.8983306,0.763268,NKAP
ENSG00000101888,,0.18570778,0.15441601,NXT2
ENSG00000101901,0.4201825,0.51050824,0.36867818,ALG13
ENSG00000101911,0.23510167,0.17881925,0.13540834,PRPS2
ENSG00000101928,0.29816335,,,MOSPD1
ENSG00000101935,0.24499789,0.49798822,0.3702102,AMMECR1
ENSG00000101938,0.44320294,,,CHRDL1
ENSG00000101940,0.44419798,0.20413733,0.18361993,WDR13
ENSG00000101955,0.3565621,,,SRPX
ENSG00000101966,0.5170955,0.6492501,0.4802652,XIAP
ENSG00000101972,0.9186319,2.078309,1.5484426,STAG2
ENSG00000101974,0.36884975,0.28359386,0.21732558,ATP11C
ENSG00000101997,0.13502781,0.14139768,0.15358423,CCDC22
ENSG00000102007,3.5720642,0.780543,0.79826856,PLP2
ENSG00000102024,2.6937988,,,PLS3
ENSG00000102030,1.8609751,2.6171756,1.944877,NAA10
ENSG00000102038,0.968647,0.36167097,0.31201547,SMARCA1
ENSG00000102054,2.159134,1.5496423,1.2513927,RBBP7
ENSG00000102078,0.11599569,0.16534531,0.12390583,SLC25A14
ENSG00000102081,0.43783998,0.22308168,0.15499516,FMR1
ENSG00000102096,,0.53351235,0.40978038,PIM2
ENSG00000102098,,0.15878779,0.111927405,SCML2
ENSG00000102100,0.19335584,0.10882834,,SLC35A2
ENSG00000102103,0.66683805,0.85313225,0.66635174,PQBP1
ENSG00000102109,0.5644153,,,PCSK1N
ENSG00000102119,1.236957,0.6928836,0.5536333,EMD
ENSG00000102125,0.17614105,0.14230189,0.14391315,TAZ
ENSG00000102144,6.098334,4.6359444,4.3770843,PGK1
ENSG00000102145,,1.4832548,1.2800285,GATA1
ENSG00000102158,0.5145837,0.57361895,0.3952228,MAGT1
ENSG00000102172,4.1327357,2.991315,2.2561796,SMS
ENSG00000102178,0.42489105,0.5473532,0.38974681,UBL4A
ENSG00000102181,0.13339815,,,CD99L2
ENSG00000102189,1.4878455,0.72774917,0.58080965,EEA1
ENSG00000102225,0.7923682,0.40139621,0.33683026,CDK16
ENSG00000102226,0.30660984,0.28404167,0.23352721,USP11
ENSG00000102241,0.9771197,1.0081176,0.71478856,HTATSF1
ENSG00000102265,3.3851202,1.1234571,0.99158394,TIMP1
ENSG00000102271,0.09251538,,,KLHL4
ENSG00000102309,0.9441567,0.7508214,0.6918179,PIN4
ENSG00000102312,0.16611575,,,PORCN
ENSG00000102316,0.803241,0.27637914,0.2692142,MAGED2
ENSG00000102317,3.7898526,1.9003444,1.6172028,RBM3
ENSG00000102359,0.104891606,,,SRPX2
ENSG00000102362,,0.22357969,0.17846037,SYTL4
ENSG00000102384,0.16372445,,,CENPI
ENSG00000102390,0.7771434,0.6075998,0.46499988,PBDC1
ENSG00000102393,0.32286653,0.4646788,0.3714034,GLA
ENSG00000102401,0.41082096,0.50921655,0.40784684,ARMCX3
ENSG00000102409,0.10152554,3.0113497,2.5486217,BEX4
ENSG00000102471,0.49885988,0.8040636,0.59321773,NDFIP2
ENSG00000102531,0.7278109,0.61288744,0.5421876,FNDC3A
ENSG00000102543,,0.19046111,0.13602969,CDADC1
ENSG00000102547,,0.11738433,,CAB39L
ENSG00000102554,0.110206865,,,KLF5
ENSG00000102572,1.0486726,0.79123616,0.66606987,STK24
ENSG00000102575,,0.2466424,0.2654456,ACP5
ENSG00000102580,1.0590084,0.9271512,0.79498225,DNAJC3
ENSG00000102595,0.41896597,0.3835867,0.35925093,UGGT2
ENSG00000102606,0.23306619,0.5008526,0.3992748,ARHGEF7
ENSG00000102699,0.79714155,0.2802468,0.2625241,PARP4
ENSG00000102710,0.4717658,0.7353105,0.5448044,SUPT20H
ENSG00000102738,0.33900708,1.029728,0.87276185,MRPS31
ENSG00000102743,0.12568687,0.36443305,0.24887069,SLC25A15
ENSG00000102753,1.0957828,1.1812723,0.84744084,KPNA3
ENSG00000102760,,0.14758277,,RGCC
ENSG00000102763,0.13804884,0.4461395,0.3441027,VWA8
ENSG00000102780,0.3905744,0.28805634,0.24259737,DGKH
ENSG00000102781,0.6522846,0.16760333,0.11838598,KATNAL1
ENSG00000102786,0.4056679,0.9328273,0.7153431,INTS6
ENSG00000102804,2.3433337,0.7013749,0.7166705,TSC22D1
ENSG00000102805,0.30453685,0.38389552,0.30547842,CLN5
ENSG00000102858,0.22713424,0.2516974,0.20561382,MGRN1
ENSG00000102870,0.152543,0.21064785,0.17234187,ZNF629
ENSG00000102871,0.33949906,0.16913067,0.1474882,TRADD
ENSG00000102879,,,0.17555125,CORO1A
ENSG00000102882,0.30423436,0.23572561,0.23771344,MAPK3
ENSG00000102893,0.59262115,0.9206369,0.7933986,PHKB
ENSG00000102897,0.27923083,0.21414347,0.16901103,LYRM1
ENSG00000102898,1.7709874,1.8418009,1.4015741,NUTF2
ENSG00000102900,0.38968527,0.6757103,0.521326,NUP93
ENSG00000102901,0.23661575,0.49436745,0.3738988,CENPT
ENSG00000102908,0.41358823,0.5783164,0.43376473,NFAT5
ENSG00000102910,0.66328293,0.47386727,0.36967584,LONP2
ENSG00000102921,0.3516315,0.45526728,0.35207158,N4BP1
ENSG00000102931,0.7798286,0.3749645,0.29592654,ARL2BP
ENSG00000102967,0.12896883,0.22966702,0.17656922,DHODH
ENSG00000102974,0.71934557,1.3249935,0.89415824,CTCF
ENSG00000102977,0.3439855,0.20985416,0.16958086,ACD
ENSG00000102978,0.60355496,0.9752133,0.6838199,POLR2C
ENSG00000103005,0.4647112,0.46265692,0.37326446,USB1
ENSG00000103018,0.67805207,0.91556585,0.68440646,CYB5B
ENSG00000103021,,0.13312866,0.13882117,CCDC113
ENSG00000103024,0.74314576,0.61640555,0.48814103,NME3
ENSG00000103035,2.4048235,3.8103554,2.8611877,PSMD7
ENSG00000103037,,0.23766886,0.18173976,SETD6
ENSG00000103042,0.15184294,0.17457306,0.13627005,SLC38A7
ENSG00000103043,0.3131589,0.2934,0.21935542,VAC14
ENSG00000103051,0.44027516,0.48516995,0.41978705,COG4
ENSG00000103061,0.24316764,0.3967074,0.29060784,SLC7A6OS
ENSG00000103064,0.1945398,0.26624712,0.18152475,SLC7A6
ENSG00000103066,0.25444642,,,PLA2G15
ENSG00000103091,0.15265432,0.3479467,0.31190962,WDR59
ENSG00000103111,0.2053923,0.34097096,0.2904297,MON1B
ENSG00000103121,1.1796316,1.455841,0.9519237,CMC2
ENSG00000103126,0.12012404,0.15790851,0.12989555,AXIN1
ENSG00000103145,1.3110565,0.36836308,0.28403667,HCFC1R1
ENSG00000103148,0.3280566,0.55246943,0.43984067,NPRL3
ENSG00000103150,,0.10891918,0.110867076,MLYCD
ENSG00000103152,1.5151237,1.3506861,1.2217754,MPG
ENSG00000103160,0.13094348,0.1492353,0.1337519,HSDL1
ENSG00000103168,,0.10719394,,TAF1C
ENSG00000103174,0.18003121,0.28097075,0.22070391,NAGPA
ENSG00000103187,5.9936643,,0.12800992,COTL1
ENSG00000103194,0.80619025,1.3172244,0.95054597,USP10
ENSG00000103197,0.23824966,0.31851712,0.2471934,TSC2
ENSG00000103199,,0.13983133,0.120912395,ZNF500
ENSG00000103202,2.980739,3.320034,2.914461,NME4
ENSG00000103222,0.36433068,0.23143901,0.18498744,ABCC1
ENSG00000103245,0.13763902,0.14667185,0.12137282,CIAO3
ENSG00000103249,0.14896187,0.3947747,0.34288168,CLCN7
ENSG00000103253,0.20620511,0.32956436,0.30250144,HAGHL
ENSG00000103254,0.8889196,1.417829,0.9930156,ANTKMT
ENSG00000103257,0.67095196,0.5697852,0.5108765,SLC7A5
ENSG00000103260,4.7289057,0.5517931,0.516986,METRN
ENSG00000103266,2.3511245,2.1796806,1.6102391,STUB1
ENSG00000103274,0.3619422,0.29761186,0.19950704,NUBP1
ENSG00000103275,2.91383,3.8659737,3.0816863,UBE2I
ENSG00000103316,,0.087376684,0.12849765,CRYM
ENSG00000103319,0.1919219,0.3075791,0.26565775,EEF2K
ENSG00000103326,0.1749983,0.23514877,0.18356007,CAPN15
ENSG00000103335,0.52975553,0.6294027,0.5389713,PIEZO1
ENSG00000103342,3.1127594,4.1678133,2.964547,GSPT1
ENSG00000103351,0.3825608,0.17605644,0.17277227,CLUAP1
ENSG00000103353,0.4577489,0.46030882,0.3286491,UBFD1
ENSG00000103356,,0.27008536,0.17547593,EARS2
ENSG00000103363,6.3920803,5.111223,4.2919903,ELOB
ENSG00000103365,0.2910557,0.5485047,0.42830262,GGA2
ENSG00000103381,,0.26135743,0.212964,CPPED1
ENSG00000103415,0.61710817,0.6181813,0.4380651,HMOX2
ENSG00000103423,0.35204595,0.63399625,0.40462515,DNAJA3
ENSG00000103429,0.74995834,0.86731046,0.7429811,BFAR
ENSG00000103479,0.2137134,0.16535878,0.15589587,RBL2
ENSG00000103485,,2.715244,2.5199337,QPRT
ENSG00000103489,0.11042921,,,XYLT1
ENSG00000103490,,1.1998186,1.3114538,PYCARD
ENSG00000103494,0.39997163,0.13570517,0.11057332,RPGRIP1L
ENSG00000103495,1.6481518,2.807799,2.113085,MAZ
ENSG00000103496,0.4489344,0.36052978,0.31279537,STX4
ENSG00000103502,0.49474406,0.20722623,0.1687886,CDIPT
ENSG00000103507,0.7806679,0.29802096,0.2725551,BCKDK
ENSG00000103510,0.17076552,0.45188963,0.42837843,KAT8
ENSG00000103512,,0.14661823,0.1118313,NOMO1
ENSG00000103540,0.3593068,0.31610543,0.2414627,CCP110
ENSG00000103544,0.27423483,0.17170846,0.13983029,VPS35L
ENSG00000103549,0.32603055,0.48956427,0.3389022,RNF40
ENSG00000103550,0.5626318,1.445793,1.1395049,KNOP1
ENSG00000103591,0.28431883,0.41819343,0.30823293,AAGAB
ENSG00000103642,1.0128142,0.23474266,0.22194694,LACTB
ENSG00000103653,0.37550384,0.6235424,0.42210767,CSK
ENSG00000103657,0.28848246,0.7721907,0.6246084,HERC1
ENSG00000103671,0.17721555,0.19243483,0.15397571,TRIP4
ENSG00000103707,0.19400777,0.2407806,0.22306988,MTFMT
ENSG00000103769,1.3263988,1.6152776,1.3629469,RAB11A
ENSG00000103811,0.39786822,1.0252504,1.0242352,CTSH
ENSG00000103855,0.5206833,0.14637232,0.12949543,CD276
ENSG00000103876,0.64240515,0.5757787,0.47257102,FAH
ENSG00000103932,0.15253076,0.39722577,0.27206758,RPAP1
ENSG00000103966,0.34588546,0.1417507,0.117113516,EHD4
ENSG00000103978,0.7317676,0.47569308,0.3500877,TMEM87A
ENSG00000103994,1.0192904,0.92335105,0.67844623,ZNF106
ENSG00000103995,0.2901336,0.4448317,0.37650466,CEP152
ENSG00000104047,0.41636443,0.37325484,0.28017092,DTWD1
ENSG00000104064,0.24029675,0.2704656,0.18604773,GABPB1
ENSG00000104067,1.370077,0.5354645,0.41157797,TJP1
ENSG00000104093,0.17041475,0.18916337,0.14774056,DMXL2
ENSG00000104129,0.2160903,0.16935894,0.15506735,DNAJC17
ENSG00000104131,1.4155049,2.710664,1.8748473,EIF3J
ENSG00000104133,0.22870114,0.31873557,0.28448686,SPG11
ENSG00000104142,0.15036105,,,VPS18
ENSG00000104147,0.17162654,0.2643349,0.17908284,OIP5
ENSG00000104164,0.8472136,0.71987885,0.57599777,BLOC1S6
ENSG00000104177,0.6853504,,,MYEF2
ENSG00000104205,0.20095645,0.50796956,0.43456876,SGK3
ENSG00000104218,0.23039363,0.6693925,0.51915795,CSPP1
ENSG00000104219,0.55962276,,,ZDHHC2
ENSG00000104221,,0.21022345,0.14911605,BRF2
ENSG00000104231,0.3367662,0.381362,0.35038987,ZFAND1
ENSG00000104290,,0.32553566,0.26000568,FZD3
ENSG00000104299,,0.23941943,0.20114517,INTS9
ENSG00000104312,0.31358597,0.27938625,0.24081945,RIPK2
ENSG00000104320,0.72712517,0.9197099,0.7004996,NBN
ENSG00000104324,0.14679444,0.18043669,0.15793097,CPQ
ENSG00000104325,0.90706533,1.1631403,0.94140655,DECR1
ENSG00000104331,0.9094572,0.4270326,0.33554414,IMPAD1
ENSG00000104332,14.039221,,,SFRP1
ENSG00000104341,1.0857172,6.087737,4.6617527,LAPTM4B
ENSG00000104343,0.2356734,0.25741073,0.20504981,UBE2W
ENSG00000104356,0.26932064,0.4860093,0.28863513,POP1
ENSG00000104365,0.31086117,0.27449283,0.2312572,IKBKB
ENSG00000104368,2.4151747,,,PLAT
ENSG00000104375,0.24441211,0.2858547,0.2319866,STK3
ENSG00000104381,,0.17374237,0.12276833,GDAP1
ENSG00000104388,2.4172244,1.3387775,1.0323938,RAB2A
ENSG00000104408,4.0845056,8.885871,7.084189,EIF3E
ENSG00000104412,0.45848846,0.4920833,0.35010782,EMC2
ENSG00000104419,0.10069628,,,NDRG1
ENSG00000104427,0.28444827,,,ZC2HC1A
ENSG00000104442,0.7879234,0.90978146,0.68359894,ARMC1
ENSG00000104447,0.2239609,,,TRPS1
ENSG00000104450,0.21964721,,,SPAG1
ENSG00000104472,0.4338418,0.94744164,0.7205144,CHRAC1
ENSG00000104497,0.12815322,,,SNX16
ENSG00000104517,0.7614802,1.6496681,1.2266979,UBR5
ENSG00000104518,0.2874632,,,GSDMD
ENSG00000104522,1.0704249,0.7994635,0.61761767,TSTA3
ENSG00000104524,0.19336562,0.15964793,0.13464655,PYCR3
ENSG00000104529,7.900943,7.202469,5.593218,EEF1D
ENSG00000104549,0.3559077,2.0040576,1.5271263,SQLE
ENSG00000104611,0.99688816,,,SH2D4A
ENSG00000104613,0.30894718,0.8690962,0.6289166,INTS10
ENSG00000104626,0.28198436,0.31899178,0.24229383,ERI1
ENSG00000104635,0.43820482,0.3984492,0.32924166,SLC39A14
ENSG00000104643,0.18902884,0.19365028,0.14434929,MTMR9
ENSG00000104660,0.5942459,1.0690664,0.76839185,LEPROTL1
ENSG00000104671,0.60917777,0.5086529,0.38499936,DCTN6
ENSG00000104679,0.365381,0.55174977,0.43812177,R3HCC1
ENSG00000104687,0.29299787,0.56368536,0.4535216,GSR
ENSG00000104689,,0.2273518,0.21406662,TNFRSF10A
ENSG00000104691,0.12799387,0.5217894,0.3527743,UBXN8
ENSG00000104695,0.6524247,0.81323606,0.51816154,PPP2CB
ENSG00000104714,0.23480378,0.54518074,0.47650313,ERICH1
ENSG00000104723,0.9924536,0.53828984,0.43971875,TUSC3
ENSG00000104728,0.35870072,0.21338241,0.16370973,ARHGEF10
ENSG00000104731,0.19602066,0.47016963,0.3670328,KLHDC4
ENSG00000104738,1.3490188,2.292076,1.7279813,MCM4
ENSG00000104756,0.40349355,0.33579558,0.22768532,KCTD9
ENSG00000104763,0.44077212,0.97696275,0.9052299,ASAH1
ENSG00000104765,2.5441241,1.188888,1.1422755,BNIP3L
ENSG00000104774,0.13336222,0.23840049,0.24606775,MAN2B1
ENSG00000104783,0.5091107,,,KCNN4
ENSG00000104805,0.67952055,0.717663,0.7295633,NUCB1
ENSG00000104812,0.21624492,,,GYS1
ENSG00000104823,0.6239919,0.35912403,0.36184257,ECH1
ENSG00000104824,0.70096934,1.2602324,0.9792136,HNRNPL
ENSG00000104825,0.19255005,0.6084417,0.4329761,NFKBIB
ENSG00000104835,0.16047645,0.33574936,0.28865382,SARS2
ENSG00000104852,1.7133236,2.3323162,1.838949,SNRNP70
ENSG00000104853,0.6710357,0.76556426,0.54648995,CLPTM1
ENSG00000104859,0.1730307,0.3519638,0.2982746,CLASRP
ENSG00000104863,0.10907013,,,LIN7B
ENSG00000104866,0.1900865,0.16890875,0.14293727,PPP1R37
ENSG00000104870,0.27766797,0.3795493,0.4026117,FCGRT
ENSG00000104872,1.0900706,1.2758138,1.231378,PIH1D1
ENSG00000104880,0.18530604,0.11248454,,ARHGEF18
ENSG00000104881,0.26476112,,,PPP1R13L
ENSG00000104884,0.27625075,0.30329636,0.2617756,ERCC2
ENSG00000104885,0.1602104,0.5461746,0.38895062,DOT1L
ENSG00000104886,0.9978054,1.8555131,1.5614208,PLEKHJ1
ENSG00000104897,0.3460502,0.85397476,0.70912576,SF3A2
ENSG00000104903,,2.2648876,1.909205,LYL1
ENSG00000104904,13.196445,21.762533,16.519558,OAZ1
ENSG00000104907,0.28637865,0.72341853,0.53300214,TRMT1
ENSG00000104915,0.7793579,0.536967,0.46225405,STX10
ENSG00000104946,0.115446344,,,TBC1D17
ENSG00000104957,0.22892827,0.20094895,0.17222998,CCDC130
ENSG00000104960,0.6379415,0.9321469,0.8189668,PTOV1
ENSG00000104964,2.2839258,3.209402,2.6175814,TLE5
ENSG00000104969,0.459413,1.0629305,0.72433335,SGTA
ENSG00000104973,0.22670645,0.4226164,0.37893328,MED25
ENSG00000104976,0.29776087,0.17622446,0.17195281,SNAPC2
ENSG00000104979,3.5657766,3.2771032,2.5414903,C19orf53
ENSG00000104980,0.28498775,0.7603326,0.5507848,TIMM44
ENSG00000104983,,0.116231136,0.11272167,CCDC61
ENSG00000104998,,0.3126161,0.27776873,IL27RA
ENSG00000105011,0.43348828,0.49026448,0.44071373,ASF1B
ENSG00000105048,0.15146242,1.363483,1.3683305,TNNT1
ENSG00000105053,0.19023561,0.41417006,0.3282887,VRK3
ENSG00000105058,0.89766985,0.8073099,0.59814554,FAM32A
ENSG00000105063,0.5922196,0.85711676,0.6016435,PPP6R1
ENSG00000105085,,0.16656141,0.11205687,MED26
ENSG00000105127,0.30889246,0.54391974,0.38950086,AKAP8
ENSG00000105135,0.36165568,0.23667154,0.19813405,ILVBL
ENSG00000105137,0.39095306,,,SYDE1
ENSG00000105171,0.59151983,0.591604,0.41266266,POP4
ENSG00000105173,,0.40391284,0.32402983,CCNE1
ENSG00000105176,1.1778888,2.1959178,1.697794,URI1
ENSG00000105185,3.823538,4.213675,2.961825,PDCD5
ENSG00000105186,,0.3914247,0.29226518,ANKRD27
ENSG00000105193,32.863705,38.357574,34.049873,RPS16
ENSG00000105197,0.8431908,1.846826,1.3230135,TIMM50
ENSG00000105202,1.8273864,4.178312,3.522314,FBL
ENSG00000105204,0.08707418,,,DYRK1B
ENSG00000105220,1.5306731,1.6289948,1.3368585,GPI
ENSG00000105221,0.35200343,0.486388,0.3582826,AKT2
ENSG00000105223,0.3982833,0.84519565,0.75408244,PLD3
ENSG00000105229,0.15153798,0.3007468,0.22445115,PIAS4
ENSG00000105245,0.15618743,,,NUMBL
ENSG00000105248,0.18270892,0.32122755,0.25988343,YJU2
ENSG00000105254,1.603343,0.68008894,0.5298271,TBCB
ENSG00000105255,0.29957536,,,FSD1
ENSG00000105258,1.656205,1.57315,1.2047876,POLR2I
ENSG00000105270,0.09487209,,,CLIP3
ENSG00000105281,0.63442373,1.8258847,1.5794607,SLC1A5
ENSG00000105287,0.11186121,0.18550766,0.13796777,PRKD2
ENSG00000105290,0.12808116,,,APLP1
ENSG00000105298,,0.23021719,0.1907228,CACTIN
ENSG00000105321,,0.16132718,0.12489571,CCDC9
ENSG00000105323,1.6817981,1.598449,1.3169937,HNRNPUL1
ENSG00000105325,0.1961658,0.18707432,0.15211473,FZR1
ENSG00000105327,0.0617741,0.18907581,0.23726217,BBC3
ENSG00000105329,1.2515986,1.347338,1.1513476,TGFB1
ENSG00000105341,0.29687783,0.5064498,0.40984026,DMAC2
ENSG00000105355,1.7823948,0.79183203,0.76197606,PLIN3
ENSG00000105364,1.221056,2.6971643,2.0232706,MRPL4
ENSG00000105371,,0.13790022,0.17617545,ICAM4
ENSG00000105372,47.64583,56.361576,48.756866,RPS19
ENSG00000105373,1.4367961,2.6291554,2.7189927,NOP53
ENSG00000105379,2.3571048,2.5817971,2.023385,ETFB
ENSG00000105383,,0.40309235,0.3955996,CD33
ENSG00000105393,1.2348428,1.2964396,0.9622642,BABAM1
ENSG00000105397,0.11425425,0.18309787,0.15554966,TYK2
ENSG00000105401,2.5224729,2.541106,2.0244026,CDC37
ENSG00000105402,0.60487056,0.56053436,0.46929592,NAPA
ENSG00000105404,3.7498903,0.41873744,0.37744674,RABAC1
ENSG00000105429,0.16461843,0.1576836,0.12173702,MEGF8
ENSG00000105438,2.5993288,1.6380582,1.3656893,KDELR1
ENSG00000105443,0.39260143,0.32352248,0.30727112,CYTH2
ENSG00000105447,0.5407564,1.0220939,0.6426553,GRWD1
ENSG00000105472,,0.16972421,0.16452771,CLEC11A
ENSG00000105483,,0.14893658,0.120550014,CARD8
ENSG00000105486,0.46246964,0.6754182,0.5455585,LIG1
ENSG00000105497,0.28790703,0.12901951,0.11183658,ZNF175
ENSG00000105518,0.45369434,0.3152745,0.30354193,TMEM205
ENSG00000105520,0.16580753,0.12860787,0.10422175,PLPPR2
ENSG00000105552,0.2850384,0.35807788,0.34426814,BCAT2
ENSG00000105556,0.111880496,0.1738466,0.13875042,MIER2
ENSG00000105568,1.2999232,1.1338207,0.8775578,PPP2R1A
ENSG00000105576,0.20733936,0.5247751,0.33819503,TNPO2
ENSG00000105583,2.6320643,2.6155722,2.0609033,WDR83OS
ENSG00000105607,0.15850683,0.5972522,0.39276406,GCDH
ENSG00000105610,,0.7323891,0.67990327,KLF1
ENSG00000105612,0.26602542,,0.12711781,DNASE2
ENSG00000105613,,0.13636602,0.10748101,MAST1
ENSG00000105617,0.18287751,0.18051638,0.12831888,LENG1
ENSG00000105618,1.0273138,1.2718455,0.9934566,PRPF31
ENSG00000105619,0.17595415,0.2858493,0.22361907,TFPT
ENSG00000105640,48.116894,54.22697,49.51685,RPL18A
ENSG00000105643,,0.11141912,,ARRDC2
ENSG00000105647,0.46866733,0.3763047,0.29674488,PIK3R2
ENSG00000105655,,0.7423984,0.7234326,ISYNA1
ENSG00000105656,0.08916923,0.19122332,0.15795998,ELL
ENSG00000105669,2.8966143,3.0725238,2.5936716,COPE
ENSG00000105671,0.54041636,1.0413142,0.76645154,DDX49
ENSG00000105676,0.23741052,0.47244725,0.35210165,ARMC6
ENSG00000105677,1.6809788,2.1374435,1.4174132,TMEM147
ENSG00000105698,0.6276405,0.70190763,0.5832817,USF2
ENSG00000105699,0.18830648,0.24382153,0.22281486,LSR
ENSG00000105700,1.2097551,1.1145953,0.8703682,KXD1
ENSG00000105701,1.5445815,2.0558534,1.958677,FKBP8
ENSG00000105705,0.17578028,0.1836031,0.17443734,SUGP1
ENSG00000105722,0.2765736,0.27372295,0.19415498,ERF
ENSG00000105723,0.42415425,0.67430866,0.5202453,GSK3A
ENSG00000105726,0.21946058,0.34255418,0.25660008,ATP13A1
